Randint,Question,Answer,Type,Section,Sub Section
2130,5th meeting of ASEAN-ðŸ‡®ðŸ‡³ Trade in Goods Agreement Joint Committee held in,JakartaðŸ‡®ðŸ‡©,FoLi,Economics,"August 8, 2024"
2131,Which cityðŸ‡®ðŸ‡³ will host 1st BIMSTEC Business Summit in August?,New Delhi,FoLi,Economics,"August 8, 2024"
2132,Which university awarded Special Consultative Status by UN EcoSoC?,KIIT,FoLi,Economics,"August 8, 2024"
2133,Which Indian has been conferred Fiji's highest civilian award?,Prez Droupadi Murmu,FoLi,Economics,"August 8, 2024"
2134,Who did Djokovic defeat to win Olympic Gold in Men's Singles Tennis?,Carlos AlcarazðŸ‡ªðŸ‡¸,FoLi,Economics,"August 8, 2024"
2135,Which Indian won bronze medal in 50m rifle event?,Swapnil Kusale,FoLi,Economics,"August 8, 2024"
2136,Who became ðŸ‡®ðŸ‡³'s youngest boxing referee at Olympics,Lt Col Kabilan Sai Ashok,FoLi,Economics,"August 8, 2024"
2137,Who was named as ðŸ‡®ðŸ‡³'s flag bearer for Olympics' Closing Ceremony,Manu Bhaker and PR Sreejesh,FoLi,Economics,"August 8, 2024"
2138,Which cricketer became first Indian Player to sign up for SA20 by joining Paarl Royals,Dinesh Kartik,FoLi,Economics,"August 8, 2024"
2139,What's the utility of Continuous Clearing of Cheques under CTS?,Cheques will be cleared within hours instead of the current two-day period,FoLi,Economics,"August 15, 2024"
2140,RBI has setup 10-member expert committee on benchmarking of its statistics under,Dy Governor Michael Debabrata Patra,FoLi,Economics,"August 15, 2024"
2141,How many PM-MITRA Parks have been finalized with locations?,7,FoLi,Economics,"August 15, 2024"
2142,Which states will have PM-MITRA Parks?,"TN, Telangana (Warangal), GJ (Navsari), KN (Kalburagi), MP (Dhar), UP (Lucknow), MH (Amravati)",FoLi,Economics,"August 15, 2024"
2143,Which bank launched Braille Debit Card for visually impaired customers,PNB,FoLi,Economics,"August 15, 2024"
2144,"Which firm has been incorporated as a wholly owned subsidiary under NPCI to address concerns about a duopoly in Indiaâ€™s Unified Payments Interface (UPI) market, where PhonePe and Google Pay currently dominate?",NBSL NPCI-BHIM Services Ltd,FoLi,Economics,"August 15, 2024"
2145,"UPI Merchant tsns cross 1,00,000 milestone in which country?",ðŸ‡³ðŸ‡µ,FoLi,Economics,"August 15, 2024"
2146,Pine Labs owned Setu launches a new UPI focused payment platform called 'UPISetu' in partnership with,Axis Bank,FoLi,Economics,"August 15, 2024"
2147,"With a deadline approaching in 2026, how much of PM-KUSUM (2019) Scheme targets have been met?",30%,FoLi,Economics,"August 15, 2024"
2148,Cabinet approves PM - Awas Yojana Urban 2.0 Scheme with financial assistance of _____ to 1 crore urban poor and middle class,â‚¹2.3 lac crore,FoLi,Economics,"August 15, 2024"
2149,Cabinet approves PM - Awas Yojana Gramin 2.0 Scheme with financial assistance of _____,â‚¹3.06 lac crore,FoLi,Economics,"August 15, 2024"
2150,"What's the installation cost of Kavach 4.0, an updated automated train protection system",â‚¹72 lac per locomotive,FoLi,Economics,"August 15, 2024"
2151,Which organization has signed pact with MEA to assist launch of ðŸ‡³ðŸ‡µ-built satellite?,ISRO's commercial arm NewSpace India Limited (NSIL),FoLi,Economics,"August 15, 2024"
2152,What's the reservation window for Indian Railways,upto 120 days in advance,FoLi,General,"August 15, 2024"
2153,"What are the names of three more Ramsar Wetland Sites, taking total to 85ðŸ“ðŸ‡®ðŸ‡³","Nanjarayan and Kazhuveli Bird Sanctuary (TN), Tawa Reservoir (MP)",FoLi,Economics,"August 15, 2024"
2154,Which Index has been launched by UNGA to aid Small Island and Developing States (SIDS) in accessing low-interest financing?,Multidimensional Vulnerability Index (MVI),FoLi,Economics,"August 15, 2024"
2155,With which nation has ðŸ‡®ðŸ‡³ renewed its MoU to train 1000 Civil Service Officers?,ðŸ‡²ðŸ‡»,FoLi,Economics,"August 15, 2024"
2156,"Which state owned enterprizeðŸ‡¨ðŸ‡³ has launched 18 Low Earth Orbit (LEO), aimed at creating a network similar to SpaceXâ€™s Starlink?",Shanghai Spacecom Satellite Technology,FoLi,Economics,"August 15, 2024"
2157,Nagaland has launched ðŸ‡®ðŸ‡³â€™s first disaster management insurance scheme by partnering with,SBI General Insurance,FoLi,Economics,"August 15, 2024"
2158,"Chhattisgarh has approved the establishment of a new tiger reserve ______, which will be the state's fourth and the third largest in the country.",Guru Ghasidas-Tamor Pingla Tiger Reserve,FoLi,Economics,"August 15, 2024"
2159,"Which state launched ðŸ‡®ðŸ‡³'s first Rice ATM, which ability to dispense up to 50 kg of grain in five minutes? ",Odisha,FoLi,Economics,"August 15, 2024"
2160,Which Assam-based biodiversity organization has developed a mobile application called â€˜HaatiAppâ€™ to help mitigate human-elephant conflict and promote coexistence with elephants in Assam and the northeast?,Aaranyak,FoLi,Economics,"August 15, 2024"
2161,"According to NIRF 2024, IISc Banglore becomes best Overall University for _____th consecutive term",9th,FoLi,General,"August 15, 2024"
2162,"According to NIRF 2024, IIT Madras becomes best Overall Institute for _____th consecutive term",6th,FoLi,General,"August 15, 2024"
2163,"According to NIRF 2024, top Overall Institutes are",IIT Madras > IISc Banglore > IIT Bombay,FoLi,General,"August 15, 2024"
2164,"According to NIRF 2024, top varsities are ",IISc Banglore > JNU > Jamia,FoLi,General,"August 15, 2024"
2165,"According to NIRF 2024, IIM Ahemdabad becomes best Management Institute for _____th consecutive term",5th,FoLi,General,"August 15, 2024"
2166,"According to NIRF 2024, Ntnl Law School of India University, Bangalore becomes best Law Institute for _____th consecutive term",7th,FoLi,General,"August 15, 2024"
2167,"According to NIRF 2024, Saveetha Institute of Medical and Technical Sciences, Chennai becomes best Dental Institute for _____th consecutive term",3rd,FoLi,General,"August 15, 2024"
2168,"According to NIRF 2024, which institute secured 1st position amongst colleges by replacing Miranda House?",Hindu College,FoLi,General,"August 15, 2024"
2169,"According to NIRF 2024, Jamia Hamdard, New Delhi becomes best Pharmacy Institute for _____th consecutive term",4th,FoLi,General,"August 15, 2024"
2170,"According to NIRF 2024, IIT Roorkee becomes best Architecture Institute for _____th consecutive term",4th,FoLi,General,"August 15, 2024"
2171,"According to NIRF 2024, which institute became best State Public Universities Category","Anna University, Chennai",FoLi,General,"August 15, 2024"
2172,"According to NIRF 2024, which institute became best institute in Innovation Category",IIT Kanpur,FoLi,General,"August 15, 2024"
2173,"According to NIRF 2024, which institute became best institute in Skill University Category","Symbiosis Skill and Professional University, Pune",FoLi,General,"August 15, 2024"
2174,ðŸ‡®ðŸ‡³ in Olympics have dropped from 48th in TokyoðŸ‡¯ðŸ‡µ Olympics to _____st in ParisðŸ‡«ðŸ‡·,71st,FoLi,Economics,"August 15, 2024"
2175,First ever Global Women's Kabaddi League will commence next month in,Haryana,FoLi,Economics,"August 15, 2024"
2176,Who recently became ðŸ‡®ðŸ‡³'s bowling coach,Morne Morkel,FoLi,Economics,"August 15, 2024"
2177,Which actorðŸ‡®ðŸ‡³ received a career achievement award at 77th Locarno Film Festival?,Shah Rukh Khan,FoLi,Economics,"August 15, 2024"
2178,Which day has been declared as National Space Day to celebrate the remarkable success of the Chandrayaan-3 Mission?,August 23rd,FoLi,Economics,"August 15, 2024"
2179,Which nation will host 3rd Voice of Global South Virtual Meet,ðŸ‡®ðŸ‡³,FoLi,Economics,"August 15, 2024"
2180,ðŸ‡®ðŸ‡³ has conducted 10th joint military exercise 'Mitra Shakti' with ðŸ‡±ðŸ‡° at,Maduru OyaðŸ‡±ðŸ‡°,FoLi,Economics,"August 15, 2024"
2181,Which Govt Co got 1600 MW Thermal Project from Damodar Valley Corporation?,BHEL,FoLi,Economics,"August 15, 2024"
2182,Who developed e-shoes for live location tracking for DRDO?,IIT Indore,FoLi,Economics,"August 15, 2024"
2183,Which nations are top 3 import sources for GoldðŸ“ðŸ‡®ðŸ‡³?,ðŸ‡¨ðŸ‡­ðŸ‡¦ðŸ‡ªðŸ‡¿ðŸ‡¦,FoLi,Economics,"August 16, 2024"
2184,"Which fellowship was launched by Ministry of Agriculture for Higher Education in Agri in PUSA, New Delhi?",ASEAN-ðŸ‡®ðŸ‡³ Fellowship,FoLi,Economics,"August 16, 2024"
2185,Which AI based surveillance system was launched by Union Govt to connect farmers with agriculture scientists for assessment of pest infested crops or insects,NPSS Ntnl Pest Surveillance System,FoLi,Economics,"August 16, 2024"
2186,MH Govt launched 'Mukhyamantri Ladli Bahin Scheme' for DBT Transfer of â‚¹1500 to over 1 crore women will cost exchequer,"â‚¹46,000 crore per annum",FoLi,Economics,"August 16, 2024"
2187,How many Kirti Chakras approved by Prez?,4,FoLi,Economics,"August 16, 2024"
2188,How many Shaurya Chakras approved by Prez?,18,FoLi,Economics,"August 16, 2024"
2189,Which para shuttlerðŸ‡®ðŸ‡³ suspended for breaching anti-doping regulations and will miss Paris Paralympics 2024?,Pramod Bhagat,FoLi,Economics,"August 16, 2024"
2190,Who became youngest PMðŸ‡¹ðŸ‡­?,P Shinawatra,FoLi,Economics,"August 17, 2024"
2191,DEA amends FEMA Rules 2019 in persuance to Union Budget 2024-25 to allow FDI in,Whiye Label ATMs,FoLi,Economics,"August 17, 2024"
2192,Which NBFC transitioned from a Core Investment Company (CIC) to Investment Credit Company (ICC),L&T Finance,FoLi,Economics,"August 17, 2024"
2193,Which nation has joined hands with ðŸ‡®ðŸ‡³ for new water technology centre at IIT Madras?,ðŸ‡®ðŸ‡±,FoLi,Economics,"August 17, 2024"
2194,Which film won award for Best Feature Film in 70th Ntnl Film Awards?,Aattam (Malayalam),FoLi,Economics,"August 17, 2024"
2195,Which actor won award for Best Actor in 70th Ntnl Film Awards?,Rishabh Shetty (for 'Kantara'),FoLi,Economics,"August 17, 2024"
2196,Which SCB faced monetary penalty of â‚¹1.27 Crore by RBI for non compliance with its directives?,Bank of Maharashtra,FoLi,Economics,"August 18, 2024"
2197,Which country reports first case of deadly mpox strain outside Africa?,ðŸ‡¸ðŸ‡ª,FoLi,Economics,"August 18, 2024"
2198,ICG (Indian Coast Guard) Maritime Rescue Coordination Centre was inaugrated by Rajnath Singh in,Chennai,FoLi,Economics,"August 18, 2024"
2199,How many medals won by ðŸ‡®ðŸ‡³ in 17th Intl Earth Sciences Olympiad held in BeijingðŸ‡¨ðŸ‡³?,4 member team won 3ðŸ¥‡2ðŸ¥ˆ3ðŸ¥‰,FoLi,Economics,"August 18, 2024"
2200,Which african nation has reported a Cholera outbreak?,SudanðŸ‡¸ðŸ‡©,FoLi,Economics,"August 19, 2024"
2201,"Which authority, estb under Foof Safety and Standards 2006, recently launched a project to address micro plastic contamination in Indian Food? ",FSSAI,FoLi,Economics,"August 19, 2024"
2202,Who became flagbearerðŸ‡®ðŸ‡³ for opening ceremony of Paris Paralympics 2024?,Sumit Antil and Bhagyashree Jadhav,FoLi,Economics,"August 19, 2024"
2203,Defence Minister launched commemorative coin to mark birth anniversary of,DMK leader KM Karunanidhi,FoLi,Economics,"August 20, 2024"
2204,RBI Guv ranked Top Central Banker (receiving A+ RatingðŸ‡©ðŸ‡°ðŸ‡¨ðŸ‡­ðŸ‡®ðŸ‡³) for 2nd year in a row by,Central Banker Report Cards by Global Finance Magazine,FoLi,Economics,"August 21, 2024"
2205,NCLT approves Slice merger with,North East SFB,FoLi,Economics,"August 21, 2024"
2206,Fair Price Shops (Ration Shops) to be renamed as,Jan Poshan Kendras,FoLi,Economics,"August 21, 2024"
2207,Which CoðŸ‡®ðŸ‡³ signed MoU with ðŸ‡±ðŸ‡° for LNG Infra Development?,Petronet LNG Ltd,FoLi,Economics,"August 21, 2024"
2208,Which State Govt launched Solar Village Scheme to power 100 villages with 100% solar energy?,MH,FoLi,Economics,"August 21, 2024"
2209,Which village will become first Solar Village under Solar Village Scheme of Maharashtra Govt?,"Manyachiwadi, Satara",FoLi,Economics,"August 21, 2024"
2210,Which brand is named as World's strongest food brand with $3.3 bn value in 2024 in Global Food & Drinks Report by Brand Finance?,Amul,FoLi,Economics,"August 21, 2024"
2211,"How much of the market share of Milk, Butter and Cheese belongs to Amul?","75%, 85%, 66%",FoLi,Economics,"August 21, 2024"
2212,With which nation has ðŸ‡®ðŸ‡³ signed agreement for Green Ammonia Export?,ðŸ‡¯ðŸ‡µ,FoLi,Economics,"August 21, 2024"
2213,Which startup is set to launched Electric Microcar 'Robin' in 2025?,Wings EV,FoLi,Economics,"August 21, 2024"
2214,Who is named ðŸ‡®ðŸ‡³'s Chef de Mission for Paris Paralympics 2024?,"Satya Prakash Sangwan, Vice *Prez of Paralympic Committee of India",FoLi,Economics,"August 21, 2024"
2215,ICC moves Women's T20 World Cup to _____ amidst unrest ðŸ“ðŸ‡§ðŸ‡©,ðŸ‡¦ðŸ‡ª,FoLi,Economics,"August 21, 2024"
2216,ICRA projects AUM growth for NBFCs to ease from 18% in FY24 to _____ in FY25,13-15%,FoLi,Economics,"August 22, 2024"
2217,"Which Payment Bank launched Face Match, an AI-powered security feature to enhance account security.",Airtel Payments Bank,FoLi,Economics,"August 22, 2024"
2218,"Which feature is introduced by NPCI, that allowes UPI's primary account holders to delegate payment responsibilities to trusted secondary users.",UPI Circle,FoLi,Economics,"August 22, 2024"
2219,Which country has reintroduced compulsory military service,CroatiaðŸ‡­ðŸ‡·,FoLi,Economics,"August 22, 2024"
2220,Which state launched KITE GNU Linux 22.04 a new operating system for Schools,Kerala,FoLi,Economics,"August 22, 2024"
2221,Which state launched 'Mukhyamantri Bal Paushtik Aahar Yojana' to provide boiled eggs or fruits weekly?,Himanchal,FoLi,Economics,"August 22, 2024"
2222,Indian Navy signs MoU with _____ for indigenisation of critical Marine Engineering equipment.,BEML Ltd,FoLi,Economics,"August 22, 2024"
2223,Which airport has been awarded the Best Airport award at the India Travel Awards for the third consecutive year.,Rajiv Gandhi International Airport (RGIA),FoLi,Economics,"August 22, 2024"
2224,Which country has surpassed ðŸ‡¨ðŸ‡³ to become largest importer of Russian Oil?,ðŸ‡®ðŸ‡³,FoLi,Economics,"August 22, 2024"
2225,Actor Vijay launched flag and song for his party,Tamilaga Vettri Kazhagam,FoLi,Economics,"August 22, 2024"
2226,First Women's Test between ðŸ‡®ðŸ‡³ðŸ´ó §ó ¢ó ¥ó ®ó §ó ¿ will be hosted in 2026 by,Lord's,FoLi,Economics,"August 22, 2024"
2227,"Which stocks shall be included in Nifty 50 from September 30, 2024?",Trent and Bharat Electronics Ltd,FoLi,Economics,"August 24, 2024"
2228,"Which stocks shall be moved from Nifty 50 to Nifty Next 50 Index from September 30, 2024?",Divi's Laboratories and LTI Mindtree,FoLi,Economics,"August 24, 2024"
2229,Which country has discovered world's second largest Dimond?,"Karowe Diamond Mine, BotswanaðŸ‡§ðŸ‡¼",FoLi,Economics,"August 24, 2024"
2230,"What are 'BHISHM Cubes', recently gifted by PM Modi to ðŸ‡ºðŸ‡¦ as humanitarian aid?",Box of medicines and surgical equipments,FoLi,Economics,"August 24, 2024"
2231,"Which scheme, announced by Odisha CM, aims at providing â‚¹50,000 over five years to one crore poor women aged between 21 and 60? ",Subhadra Scheme,FoLi,Economics,"August 24, 2024"
2232,"What's the name of space stationðŸ‡®ðŸ‡³, which is expected to be commissioned by 2035?",BAS Bhartiya Antariksha Station,FoLi,Economics,"August 24, 2024"
2233,Which eMagazine was inaugrated by Dharmendra Pradhan to commemorate 1st anniversary of landing of Chandrayan 3?,Sapno ki Udaan,FoLi,Economics,"August 24, 2024"
2234,"Kaanu, a South Indian Adivasi Knowledge Centre, will be launched at the","Tribal Health Resource Centre (THRC) in BR Hills, Karnataka",FoLi,Economics,"August 24, 2024"
2235,How much of Bharatmala Pariyojana Phase-1 has been completed as of March 2024,50% (expected to finish by 2027-28),FoLi,Economics,"August 25, 2024"
2236,"Which tribe reside in Great Nicobar, for whom Environment Minister Bhupendra Yadav has vowed non displacement?",Shompen Tribe,FoLi,Economics,"August 25, 2024"
2237,Which is the first Indian State to implement Unified Pension Scheme?,MH,FoLi,Economics,"August 25, 2024"
2238,Three schemes under Department of Science Technology has been consolidated into a unified scheme called,Vigyan Dhara,FoLi,Economics,"August 25, 2024"
2239,"With what objective has BioE3 (Biotechnology for Economy, Environment, Employment) Policy have been rolled out",for fostering high performance Biomanufacturing,FoLi,Economics,"August 25, 2024"
2240,"What's the name of ðŸ‡®ðŸ‡³'s first reusable hybrid rocket, developed by SpaceZone India and Martin Group?",RHUMI-1,FoLi,Economics,"August 26, 2024"
2241,Which bank has launched special Savings Account called 'Avni' for Women?,Bandhan Bank,FoLi,Economics,"August 26, 2024"
2242,"Education Ministry, under New India Literacy Programme, has defined 'Full Literacy' as",achieving 95% literacy in a State or Union Territory,FoLi,Economics,"August 27, 2024"
2243,Who has fines Uber â‚¬290m for transferring European drivers' personal data to US servers?,Dutch Data Protection Authority,FoLi,Economics,"August 27, 2024"
2244,Which 5 new districts have been announced in Ladakh by HM Amit Shah?,"Zanskar, Drass, Sham, Nubra, Changthang",FoLi,Economics,"August 27, 2024"
2245,Which Private Space Company is set to attempt the first ever private spacewalk?,SpaceX,FoLi,Economics,"August 27, 2024"
2246,Who's the first Indian Civilian Space Tourist and second Indian to travel to space following Rakesh Sharma in 1984?,Gopichand Thotakura,FoLi,Economics,"August 27, 2024"
2247,Which 5-yo Indian became youngest Asian go conquer Mt Kilimanjaro in Africa?,Teghbir Singh,FoLi,Economics,"August 28, 2024"
2248,Rajasthan CM announces Krishna Gaman Path jointly with,Madhya Pradesh,FoLi,Economics,"August 28, 2024"
2249,What's ðŸ‡®ðŸ‡³'s rank in JLL' s Global Real Estate Transparency Index in Tier I Markets,31st/89 countries,FoLi,Economics,"August 28, 2024"
2250,Who developed a needle-free intranasal booster vaccine against SARS-CoV-2?,Indian Immunologicals Ltd (IIL)ðŸ¤ðŸ½ Griffith UniversityðŸ‡¦ðŸ‡º,FoLi,Economics,"August 28, 2024"
2251,Who launched AI powered shopping assistant chatbot RufusðŸ“ðŸ‡®ðŸ‡³?,Amazon,FoLi,Economics,"August 28, 2024"
2252,"International Buddhist Confederation to organize a Two-day Conference at Nalanda, Bihar on the Life and Legacy of",Guru Padmasambhava,FoLi,Economics,"August 28, 2024"
2253,Who's set to become youngest ICC Chairperson?,Jay Shah,FoLi,Economics,"August 28, 2024"
2254,Who won online Human Rights Photography Competition (2024) by NHRC?,"no entries were suitable for the 1st and 2nd prizes but awarded a 3rd prize of Rs. 5,000 to Dimpal Pancholi",FoLi,Economics,"August 28, 2024"
2255,How much of the streaming and TV advertising market will be controlled by RIL after Disney-JioCinema merger?,40%,FoLi,Economics,"August 29, 2024"
2256,Which State Govt launched Mukhya Mantri Sukh Shiksha Yojana for providing â‚¹1000 pm for children under 18?,Himanchal,FoLi,Economics,"August 29, 2024"
2257,Which state Govt was fined â‚¹1000 crore by NGT for faltering on waste disposal?,Punjab (was also penalized â‚¹2000 crore in 2022 by NGT),FoLi,Economics,"August 29, 2024"
2258,"Who designed solar powered tricycles, launched recently by Nitin Gadkari, to empower individuals with disability?",Andhra Pradesh MedTech Zone,FoLi,Economics,"August 29, 2024"
2259,Cabinet approves private FM radio in _____ more cities,234,FoLi,Economics,"August 29, 2024"
2260,Who manufactures SIG 716 rifles recently ordered (repeated) by Ministry of Defence?,Sig SauerðŸ‡ºðŸ‡¸,FoLi,Economics,"August 29, 2024"
2261,Which SFB won four prestigious awards at the 2nd ICC Emerging Asia Banking Conclave?,Jana Small Finance Bank,FoLi,Economics,"August 29, 2024"
2262,"Which â‚¹76000 Cr Port, recently inaugrated by PM, is important for both IMEC and INSTC?",Vadhavan Port,FoLi,Economics,"August 30, 2024"
2263,How much dividend is transferred by LIC to GoI?,"â‚¹3,600 Crore",FoLi,Economics,"August 30, 2024"
2264,Which manâœï¸ðŸ‡µðŸ‡° becomes first from Goa to get citizenship under CAA?,Joseph Pereira,FoLi,Economics,"August 30, 2024"
2265,Which typhoon recently hit ðŸ‡¯ðŸ‡µ?,Typhoon Shanshan,FoLi,Economics,"August 30, 2024"
2266,Which municipality declared 2nd healthiest city in Asia by WHO?,Dhulikhel Municipality in KavrepalanchokðŸ‡³ðŸ‡µ,FoLi,Economics,"August 30, 2024"
2267,Who replaced Mukesh Ambani as wealthiest Indian in Hurun Rich List?,Adani,FoLi,Economics,"August 30, 2024"
2268,Which family secured 3rd position in Hurun's Rich List?,Shiv Nadar and Family,FoLi,Economics,"August 30, 2024"
2269,Which family secured 4th position in Hurun's Rich List?,Cyrus S Poonawalla & family,FoLi,Economics,"August 30, 2024"
2270,Mukesh Ambani announces suite of AI tools called,JioBrain,FoLi,Economics,"August 30, 2024"
2271,Who inaugrated ASSOCHAM Environment and Carbon Conference in New Delhi,"Minister of Environment, Kirti Vardhan Singh",FoLi,Economics,"August 30, 2024"
2272,TCS launches Pace Studio in _____ to drive digital innovation,PhilippinesðŸ‡µðŸ‡­,FoLi,Economics,"August 30, 2024"
2273,Which 1st indigenously developed Pollution Control Vessel of ICG launched in Goa,Samudra Pratap,FoLi,Economics,"August 30, 2024"
2274,2024 will be the first time Summer Paralympic Games are held in,ParisðŸ‡«ðŸ‡·,FoLi,Economics,"August 30, 2024"
2275,Who emerged as champion of 61st National Chess Championship?,Karthik Venkatraman,FoLi,Economics,"August 30, 2024"
2276,How many New Industrial Cities under National Industrial Corridor Development Programme (NICDP),12,FoLi,Economics,"August 31, 2024"
2277,Which CPSE has planned capex of â‚¹1.7 lac crore under its Project Aspire?,BPCL,FoLi,Economics,"August 31, 2024"
2278,Who launched â€˜Push Provisioningâ€™ platform at the Global Fintech Festival (GFF) 2024 that allows seamless card token sharing between merchants and banks via a single platform,PayU,FoLi,Economics,"August 31, 2024"
2279,Which airline will merge with Air India from November 12,Vistara,FoLi,Economics,"August 31, 2024"
2280,Which cyclone has formed over Kutch,Cyclone Asna,FoLi,Economics,"August 31, 2024"
2281,Largest Aero Lounge in the country '0484 AERO LOUNGE' launched at,Cochin International Airport Limited (CIAL),FoLi,Economics,"August 31, 2024"
2282,Naval ShipðŸ‡®ðŸ‡³ called Tabar conducts MPX Maritime Partnership Exercise with Naval ShipðŸ‡ªðŸ‡¸ called,Atalaya,FoLi,Economics,"August 31, 2024"
2283,Who launched first comic book on Indian Air Force heroes?,Air Chief Marshal VR Chaudhary,FoLi,Economics,"August 31, 2024"
2284,"Global Fintech Fest (GFF) 2024 is organized by MeitY, RBI, PCI, NPCI, and FCC at","Jio World Convention Centre, Mumbai",FoLi,Economics,"August 31, 2024"
2285,Who won Pacific Asia Travel Association (PATA) Gold Award 2024,Kerala Tourism,FoLi,Economics,"August 31, 2024"
2286,Which two celebrities are awarded Youth Icon Of India By FICCI,Ayushman Khurana and Niraj Chopra,FoLi,Economics,"August 31, 2024"
2287,Which ParalympianðŸ‡®ðŸ‡³ won her 2nd consecutive Paralympic Gold in Shooting,Avani Lekhara,FoLi,Economics,"August 31, 2024"
2288,Who chose ðŸ‡®ðŸ‡³ for world debut of Payment Passkey Service to make online shopping more secure and easier for consumers globally?,Mastercard,FoLi,Economics,"September 1, 2024"
2289,Which country received the highest amount of funding from the UN's Central Emergency Response Fund (CERF) in the latest allocation?,YemenðŸ‡¾ðŸ‡ª,FoLi,Economics,"September 1, 2024"
2290,Which firm became 1st ðŸ‡®ðŸ‡³ firm to surpass â‚¹10 lac crore in revenue?,RIL,FoLi,Economics,"September 2, 2024"
2291,Which 4 CPSEs recently got â€˜Navratnaâ€™ status from government?,"SJVN, NHPC, RailTel and SECI",FoLi,Economics,"September 2, 2024"
2292,UP Govt to build Vedic 3d Museum in,"Sampurnanand Sanskrit University, Varanasi",FoLi,Economics,"September 2, 2024"
2293,Who presented Bhasha Samman in New Delhi,Sahitya Akademi,FoLi,Economics,"September 2, 2024"
2294,Cabinet approves 5th semiconductor unit by Kaynes Semicon Pvt Ltd in India in,"Sanand, Gujrat",FoLi,Economics,"September 3, 2024"
2295,Which satellite was launched by NASA to detect major emitters of carbon dioxide and methane?,Tanager-1,FoLi,Economics,"September 3, 2024"
2296,"Who's President of Intl Olympic Council, who recently awarded Olympic Order to Emmanuel MacronðŸ‡«ðŸ‡·? ",Thomas Bach,FoLi,Economics,"September 3, 2024"
2297,"WB revises ðŸ‡®ðŸ‡³'s GDP growth forecast from 6.6% to _____, thereby equating to that of IMF and ADB								",7%,FoLi,Economics,"September 4, 2024"
2298,"Who announced GIGA, a financial product that offers a flexible savings account, business credit card with interest-free credit, and health insurance with premiums starting at Rs 20 per day								",HDFC Bank,FoLi,Economics,"September 4, 2024"
2299,The first international campus of IIT opens up in,IIT-Delhi Abu DhabiðŸ‡¦ðŸ‡ª,FoLi,Economics,"September 4, 2024"
2300,WB Assembly introduces death penalty bill called,"Aparajita Women and Child (West Bengal Criminal Laws Amendment) Bill, 2024",FoLi,Economics,"September 4, 2024"
2301,"According to Pew Research's The Religious Composition of the Worldâ€™s Migrants, Christians make up _____ of the global migrant population.",47%,FoLi,Economics,"September 4, 2024"
2302,Which AI Project by Google will Cover 125 Indic Languages,Deepmind Morni AI,FoLi,Economics,"September 4, 2024"
2303,"According to Indian Institutional Ranking Framework (IIRF), which Govt engineering college occupied top position",IIT Bombay > IIT Madras > IIT Delhi,FoLi,Economics,"September 4, 2024"
2304,"According to Indian Institutional Ranking Framework (IIRF), which Private engineering college occupied top position",BITS Pilani > Thapar Institute of Engineering & Technology > IIIT Hyderabad,FoLi,Economics,"September 4, 2024"
2305,"According to MoSPI estimates, which large states recorded highest Real GSDP rates?",Telangana (9.2%) > TN (8.2%) > RJ (8.0%),FoLi,Economics,"September 5, 2024"
2306,"According to the MoHUA, how many projects are completed under Smart Cities Mission?",90%,FoLi,Economics,"September 5, 2024"
2307,Which Law Commission have been approved by Prez?,23rd,FoLi,Economics,"September 5, 2024"
2308,Which State Govt approved 33% quota for women in State police force?,RJ,FoLi,Economics,"September 5, 2024"
2309,Which Portal won National Award for e-Governance 2024 (Gold)?,Poshan Tracker by WCD,FoLi,Economics,"September 5, 2024"
2310,Which initiative won National Award for e-Governance 2024 (Gold) for Administrative Reforms?,Lab Mitra Initiative in Varanasi,FoLi,Economics,"September 5, 2024"
2311,"According to APEDA, part of the 'Make in India' initiative, pushing for increased exports of Indian spirits to major global markets, how much exports of alcoholic beverages is targeted by GoI?",$1 bn,FoLi,Economics,"September 6, 2024"
2312,Modi to launch â€˜Jal Sanchay Jan Bhagidariâ€™ initiative (for Rainwater Harvesting) at,Surat,FoLi,Economics,"September 6, 2024"
2313,"According to a study by Nature, which initiative significantly reduced infant and under-five mortality rates, saving 60,000â€“70,000 infant lives annually",SBM Swacch Bharat Mission,FoLi,Economics,"September 6, 2024"
2314,Worldâ€™s Largest Low-Carbon Hydrogen Facility to Be Built in _____ through ADNOC-ExxonMobil Partnership,Texas,FoLi,Economics,"September 6, 2024"
2315,Union Minister of Textiles Shri Giriraj Singh launches Indiaâ€™s first fashion forecasting initiative called,VisioNxt,FoLi,Economics,"September 6, 2024"
2316,Union Minister of Textiles Shri Giriraj Singh launches Indiaâ€™s first bilingual India-specific fashion trend book,Paridhi 24x25,FoLi,Economics,"September 6, 2024"
2317,Modi virtually addresses first International Solar Festival being held in,Delhi,FoLi,Economics,"September 6, 2024"
2318,Who became oldest Indian to swim solo across English Channel?,Bengaluruâ€™s Siddhartha (49 yo),FoLi,Economics,"September 6, 2024"
2319,Kotak General Insurance has been rebranded as _____ after Zurich Insurance Group acquired a 70% stake in the company.,Zurich Kotak General Insurance,FoLi,Economics,"September 7, 2024"
2320,Which policy is being considered to reduce the total number of RRBs from 43 to around 30 by merging RRBs within a state under one sponsor bank?,"One State, One RRB",FoLi,Economics,"September 7, 2024"
2321,Which former Union Minister nominated to World Agriculture Forum Board?,Suresh Prabhu,FoLi,Economics,"September 7, 2024"
